,station,date,prcp,tobs
0,USC00519397,1/1/2010,0.08,65
2724,USC00513117,1/1/2010,0.28,67
9007,USC00518838,1/1/2010,0.21,72
9518,USC00519523,1/1/2010,0.15,75
12187,USC00519281,1/1/2010,0.15,70
14959,USC00511918,1/1/2010,0.05,66
16938,USC00516128,1/1/2010,0.14,73
1,USC00519397,1/2/2010,0,63
2725,USC00513117,1/2/2010,0,65
9008,USC00518838,1/2/2010,0.02,73
9519,USC00519523,1/2/2010,0,75
12188,USC00519281,1/2/2010,0,62
14960,USC00511918,1/2/2010,0,70
16939,USC00516128,1/2/2010,0,61
2,USC00519397,1/3/2010,0,74
2726,USC00513117,1/3/2010,0,75
9009,USC00518838,1/3/2010,0,67
9520,USC00519523,1/3/2010,0,77
12189,USC00519281,1/3/2010,0,74
14961,USC00511918,1/3/2010,0,75
16940,USC00516128,1/3/2010,0,76
3,USC00519397,1/4/2010,0,76
2727,USC00513117,1/4/2010,0,76
9010,USC00518838,1/4/2010,0.01,76
9521,USC00519523,1/4/2010,0,75
12190,USC00519281,1/4/2010,0,75
14962,USC00511918,1/4/2010,0,75
16941,USC00516128,1/4/2010,0,72
2728,USC00513117,1/5/2010,0,76
9011,USC00518838,1/5/2010,0.02,73
9522,USC00519523,1/5/2010,0.01,75
12191,USC00519281,1/5/2010,0,74
14963,USC00511918,1/5/2010,0,75
16942,USC00516128,1/5/2010,0,74
2729,USC00513117,1/6/2010,0.02,76
9523,USC00519523,1/6/2010,0.11,72
12192,USC00519281,1/6/2010,0.01,76
14964,USC00511918,1/6/2010,0.08,72
16943,USC00516128,1/6/2010,0.36,71
5,USC00519397,1/7/2010,0.06,70
2730,USC00513117,1/7/2010,0.38,70
9524,USC00519523,1/7/2010,0.7,68
12193,USC00519281,1/7/2010,0.17,69
14965,USC00511918,1/7/2010,0.04,70
16944,USC00516128,1/7/2010,0.3,74
6,USC00519397,1/8/2010,0,64
2731,USC00513117,1/8/2010,0.01,66
9013,USC00518838,1/8/2010,0.03,73
9525,USC00519523,1/8/2010,0.02,63
12194,USC00519281,1/8/2010,0,66
14966,USC00511918,1/8/2010,0,63
16945,USC00516128,1/8/2010,0,64
7,USC00519397,1/9/2010,0,68
2732,USC00513117,1/9/2010,0,69
9014,USC00518838,1/9/2010,0.01,69
9526,USC00519523,1/9/2010,0.01,69
12195,USC00519281,1/9/2010,0,70
14967,USC00511918,1/9/2010,0,68
16946,USC00516128,1/9/2010,0,67
8,USC00519397,1/10/2010,0,73
2733,USC00513117,1/10/2010,0,74
9015,USC00518838,1/10/2010,0.01,70
9527,USC00519523,1/10/2010,0,72
12196,USC00519281,1/10/2010,0,75
14968,USC00511918,1/10/2010,0,74
16947,USC00516128,1/10/2010,0.01,71
9,USC00519397,1/11/2010,0.01,64
2734,USC00513117,1/11/2010,0.03,67
9016,USC00518838,1/11/2010,0.14,72
9528,USC00519523,1/11/2010,0.48,68
12197,USC00519281,1/11/2010,0.03,64
14969,USC00511918,1/11/2010,0.05,64
16948,USC00516128,1/11/2010,0.14,68
10,USC00519397,1/12/2010,0,61
2735,USC00513117,1/12/2010,0,64
9017,USC00518838,1/12/2010,0.02,60
9529,USC00519523,1/12/2010,0,61
12198,USC00519281,1/12/2010,0,60
14970,USC00511918,1/12/2010,0,57
16949,USC00516128,1/12/2010,0,68
2736,USC00513117,1/13/2010,0,64
9018,USC00518838,1/13/2010,0.02,68
9530,USC00519523,1/13/2010,0,60
12199,USC00519281,1/13/2010,0,61
14971,USC00511918,1/13/2010,0,57
16950,USC00516128,1/13/2010,0,59
11,USC00519397,1/14/2010,0,66
2737,USC00513117,1/14/2010,0,65
9019,USC00518838,1/14/2010,0,67
9531,USC00519523,1/14/2010,0,65
12200,USC00519281,1/14/2010,0,68
14972,USC00511918,1/14/2010,0,65
16951,USC00516128,1/14/2010,0,69
12,USC00519397,1/15/2010,0,65
2738,USC00513117,1/15/2010,0,69
9532,USC00519523,1/15/2010,0,68
12201,USC00519281,1/15/2010,0,64
14973,USC00511918,1/15/2010,0,56
16952,USC00516128,1/15/2010,0,67
13,USC00519397,1/16/2010,0,68
2739,USC00513117,1/16/2010,0,71
9533,USC00519523,1/16/2010,0,68
12202,USC00519281,1/16/2010,0,66
14974,USC00511918,1/16/2010,0,66
16953,USC00516128,1/16/2010,0,65
14,USC00519397,1/17/2010,0,64
2740,USC00513117,1/17/2010,0,69
9534,USC00519523,1/17/2010,0,70
12203,USC00519281,1/17/2010,0,67
16954,USC00516128,1/17/2010,0,70
15,USC00519397,1/18/2010,0,72
2741,USC00513117,1/18/2010,0,73
9535,USC00519523,1/18/2010,0,77
12204,USC00519281,1/18/2010,0,70
14975,USC00511918,1/18/2010,0,73
16955,USC00516128,1/18/2010,0,76
16,USC00519397,1/19/2010,0,66
2742,USC00513117,1/19/2010,0,73
9021,USC00518838,1/19/2010,0,70
9536,USC00519523,1/19/2010,0,74
12205,USC00519281,1/19/2010,0,67
14976,USC00511918,1/19/2010,0,61
16956,USC00516128,1/19/2010,0,75
17,USC00519397,1/20/2010,0,66
2743,USC00513117,1/20/2010,0.01,72
9022,USC00518838,1/20/2010,0,68
9537,USC00519523,1/20/2010,0,67
12206,USC00519281,1/20/2010,0,67
14977,USC00511918,1/20/2010,0,66
16957,USC00516128,1/20/2010,0,69
18,USC00519397,1/21/2010,0,69
2744,USC00513117,1/21/2010,0.04,70
9538,USC00519523,1/21/2010,0.13,70
12207,USC00519281,1/21/2010,0.16,69
14978,USC00511918,1/21/2010,0,68
16958,USC00516128,1/21/2010,0.32,71
19,USC00519397,1/22/2010,0,67
2745,USC00513117,1/22/2010,0,65
9539,USC00519523,1/22/2010,0,66
12208,USC00519281,1/22/2010,0,60
14979,USC00511918,1/22/2010,0,60
16959,USC00516128,1/22/2010,0,63
20,USC00519397,1/23/2010,0,67
2746,USC00513117,1/23/2010,0,73
9540,USC00519523,1/23/2010,0,75
12209,USC00519281,1/23/2010,0,75
14980,USC00511918,1/23/2010,0,78
16960,USC00516128,1/23/2010,0,75
21,USC00519397,1/24/2010,0.01,71
2747,USC00513117,1/24/2010,0,74
9541,USC00519523,1/24/2010,0,72
12210,USC00519281,1/24/2010,0,75
14981,USC00511918,1/24/2010,0,71
16961,USC00516128,1/24/2010,0.01,76
22,USC00519397,1/25/2010,0,67
2748,USC00513117,1/25/2010,0,68
9542,USC00519523,1/25/2010,0,65
12211,USC00519281,1/25/2010,0,65
14982,USC00511918,1/25/2010,0,68
16962,USC00516128,1/25/2010,0,65
23,USC00519397,1/26/2010,0.04,76
2749,USC00513117,1/26/2010,0,77
9024,USC00518838,1/26/2010,0.13,74
9543,USC00519523,1/26/2010,0.01,76
12212,USC00519281,1/26/2010,0.01,75
14983,USC00511918,1/26/2010,0.03,76
